"Name";"Entity";"OS version and architecture";"Last seen";"Business Unit";"Number of system crashes";"Engine"
"SGSGPEL1JXVTT2";"Mercer - Singapore (SG) - Laptop";"Windows 10 Enterprise 20H2 (64 bits)";"2022-05-13T16:56:56";"Mercer";"1";"engine-12"
"SGSGPEL6ST9NQ2";"Mercer - Singapore (SG) - Laptop";"Windows 10 Enterprise 20H2 (64 bits)";"2022-05-13T17:40:33";"Mercer";"1";"engine-12"
"SGSGPEL2RT9NQ2";"Mercer - Singapore (SG) - Laptop";"Windows 10 Enterprise 21H2 (64 bits)";"2022-05-13T16:53:13";"Mercer";"1";"engine-12"
"SGSGPEL61DLXT2";"Mercer - Singapore (SG) - Laptop";"Windows 10 Enterprise 20H2 (64 bits)";"2022-05-13T16:02:45";"Mercer";"1";"engine-12"
"SGSGPELC9TWTT2";"Mercer - Singapore (SG) - Laptop";"Windows 10 Enterprise 20H2 (64 bits)";"2022-05-09T14:00:13";"Mercer";"1";"engine-12"
"SGSGPEL1VGVXT2";"Mercer - Singapore (SG) - Laptop";"Windows 10 Enterprise 20H2 (64 bits)";"2022-05-13T21:05:44";"Mercer";"1";"engine-12"
"SGSGPEL528DQT2";"Mercer - Singapore (SG) - Laptop";"Windows 10 Enterprise 20H2 (64 bits)";"2022-05-13T21:57:16";"Mercer";"1";"engine-12"
"SGSGPELD4DGFH2";"Mercer - Singapore (SG) - Laptop";"Windows 10 Enterprise 20H2 (64 bits)";"2022-05-13T13:02:29";"Mercer";"1";"engine-12"
"PHMNLEL2QNWNN2";"Mercer - Manila (PH) - Laptop";"Windows 10 Enterprise 20H2 (64 bits)";"2022-05-14T08:36:58";"Mercer";"1";"engine-12"
"MYKLUMLB6N5NT2";"Marsh - Kuala Lumpur (MY) - Laptop";"Windows 10 Enterprise 20H2 (64 bits)";"2022-05-13T16:17:25";"Marsh";"1";"engine-5"
"PHMNLMLH7W8NF2";"Marsh - Manila (PH) - Laptop";"Windows 10 Enterprise 21H2 (64 bits)";"2022-05-14T05:11:47";"Marsh";"1";"engine-5"
"THBANML46TTLW2";"Marsh - Bangkok (TH) - Laptop";"Windows 10 Enterprise 20H2 (64 bits)";"2022-05-13T17:32:04";"Marsh";"1";"engine-5"
