"Name";"Entity";"System drive free space";"System drive capacity";"Hard disks";"Hard disks manufacturers";"System disk type";"Last seen";"Business Unit";"Model";"Engine"
"PHMNLEL1B4H0N2";"Mercer - Manila (PH) - Laptop";"10743713792";"254169886720";"Micron 1100 SCSI Disk Device:256052966400:0.8:SSD:boot disk:ok";"Micron";"SSD";"2022-05-14T10:09:31";"Mercer";"Dell Latitude 7480";"engine-12"
"PHMNLELDTX3NH2";"Mercer - Manila (PH) - Laptop";"16934178816";"254171234304";"Micron 1100 SCSI Disk Device:256052966400:0.7:SSD:boot disk:ok";"Micron";"SSD";"2022-05-14T10:10:03";"Mercer";"Dell Latitude 7480";"engine-12"
"SGSGPEL2RMTXT2";"Mercer - Singapore (SG) - Laptop";"22932738048";"252736155648";"TOSHIBA KSG60ZMV256G M.2 2280 256GB:256052966400:1:SSD:boot disk:ok";"Toshiba";"SSD";"2022-05-14T10:10:19";"Mercer";"Dell Latitude 7280";"engine-12"
"IDJAKELF4ZC6Y2";"Mercer - Jakarta (ID) - Laptop";"18686935040";"252736155648";"SAMSUNG SSD PM871b M.2 2280 256GB:256052966400:0.9:SSD:boot disk:ok";"Samsung";"SSD";"2022-05-14T10:10:03";"Mercer";"Dell Latitude 5490";"engine-12"
"MYKLUELFGCMGC2";"Mercer - Kuala Lumpur (MY) - Laptop";"7742926848";"255049326592";"SanDisk X400 M.2 2280 256GB:256052966400:0.9:SSD:boot disk:ok";"";"SSD";"2022-05-14T10:09:46";"Mercer";"Dell Latitude E7470";"engine-12"
"SGSGPEL71RCRQ2";"Mercer - Singapore (SG) - Laptop";"20379836416";"252736155648";"SAMSUNG SSD PM871b M.2 2280 256GB:256052966400:0.8:SSD:boot disk:ok";"Samsung";"SSD";"2022-05-14T10:10:02";"Mercer";"Dell Latitude 7280";"engine-12"
"PHMNLELFCCCNH2";"Mercer - Manila (PH) - Laptop";"167297024";"254171451392";"Micron 1100 SCSI Disk Device:256052966400:0.7:SSD:boot disk:ok";"Micron";"SSD";"2022-05-13T20:56:28";"Mercer";"Dell Latitude 7480";"engine-12"
"SGSGPELBL78FH2";"Mercer - Singapore (SG) - Laptop";"15235289088";"254171619328";"SanDisk X400 SCSI Disk Device:256052966400:0.8:SSD:boot disk:ok";"";"SSD";"2022-05-12T23:37:44";"Mercer";"Dell Latitude 7280";"engine-12"
"SGSGPELD86SXT2";"Mercer - Singapore (SG) - Laptop";"16073244672";"252736155648";"TOSHIBA KSG60ZMV256G M.2 2280 256GB:256052966400:1:SSD:boot disk:ok";"Toshiba";"SSD";"2022-05-13T22:30:00";"Mercer";"Dell Latitude 7280";"engine-12"
"SGSGPELJYDY9H2";"Mercer - Singapore (SG) - Laptop";"11788251136";"255050407936";"SK hynix SC308 SATA 256GB:256052966400:0.8:SSD:boot disk:predicted_to_fail";"";"SSD";"2022-05-13T19:56:41";"Mercer";"Dell Latitude E7270";"engine-12"
"MYKLUEL83XRQC2";"Mercer - Kuala Lumpur (MY) - Laptop";"20035588096";"255332540416";"SanDisk X400 M.2 2280 256GB:256052966400:0.8:SSD:boot disk:ok";"";"SSD";"2022-05-12T19:52:19";"";"Dell Latitude E7470";"engine-12"
"SGSGPEL5LTR3Z2";"Mercer - Singapore (SG) - Laptop";"19701297152";"252736155648";"Samsung PM981a NVMe Samsung 256GB:256052966400:NULL:SSD:boot disk:ok";"Samsung";"SSD";"2022-05-14T04:14:07";"Mercer";"Dell Latitude 7300";"engine-12"
"SGSGPEL8FGPNF2";"Mercer - Singapore (SG) - Laptop";"21207343104";"252736155648";"Intel INTEL SSDSCKKF256G8 SATA 256GB:256052966400:0.8:SSD:boot disk:ok";"Intel";"SSD";"2022-05-12T22:59:45";"Mercer";"Dell Latitude 5290";"engine-12"
"MYKLUEL1PSZ5S2";"Mercer - Kuala Lumpur (MY) - Laptop";"11890388992";"252736155648";"TOSHIBA KSG60ZMV256G M.2 2280 256GB:256052966400:0.9:SSD:boot disk:ok";"Toshiba";"SSD";"2022-05-14T03:38:33";"Mercer";"Dell Latitude 5490";"engine-12"
"PHMNLEL5BPZZY2";"Mercer - Manila (PH) - Laptop";"1550876672";"252736155648";"Micron 1300 SATA 256GB:256052966400:0.9:SSD:boot disk:ok";"Micron";"SSD";"2022-05-13T21:12:14";"Mercer";"Dell Latitude 5290";"engine-12"
"IDJAKELFXFWVZ2";"Mercer - Jakarta (ID) - Laptop";"18102366208";"252736155648";"Western Digital PC SN520 NVMe WDC 256GB:256052966400:NULL:SSD:boot disk:ok";"Western Digital";"SSD";"2022-05-13T19:18:11";"Mercer";"Dell Latitude 5300";"engine-12"
"MYKLUELGM49BG2";"Mercer - Kuala Lumpur (MY) - Laptop";"19717554176";"255050432512";"SK hynix SC308 SATA 256GB:256052966400:0.7:SSD:boot disk:predicted_to_fail";"";"SSD";"2022-05-13T16:55:04";"Mercer";"Dell Latitude E7470";"engine-12"
"SGSGPELFRHWQN2";"Mercer - Singapore (SG) - Laptop";"12630257664";"252736155648";"SK hynix SC311 SATA 256GB:256052966400:0.8:SSD:boot disk:ok";"";"SSD";"2022-05-13T18:37:30";"Mercer";"Dell Latitude 7280";"engine-12"
"SGSGPELBL9D0N2";"Mercer - Singapore (SG) - Laptop";"7833210880";"254171811840";"Micron 1100 SCSI Disk Device:256052966400:0.8:SSD:boot disk:ok";"Micron";"SSD";"2022-05-10T21:58:45";"Mercer";"Dell Latitude 7280";"engine-12"
"MYKLUEL8SP9BG2";"Mercer - Kuala Lumpur (MY) - Laptop";"15412711424";"252736155648";"SK hynix SC308 SATA 256GB:256052966400:0.8:SSD:boot disk:predicted_to_fail";"";"SSD";"2022-05-11T18:27:21";"Mercer";"Dell Latitude E7470";"engine-12"
"SGSGPEL8VCH3G2";"Mercer - Singapore (SG) - Laptop";"25984274432";"255043694592";"TOSHIB  THNSNK256GVN8 M. SCSI Disk Device:256052966400:0.7:SSD:boot disk:ok";"";"SSD";"2022-05-08T14:37:59";"Mercer";"Dell Latitude E7270";"engine-12"
"SGSGPEL2Y7Z2Z2";"Mercer - Singapore (SG) - Laptop";"22434508800";"252736155648";"Samsung PM981 NVMe Samsung 256GB:256052966400:NULL:SSD:boot disk:ok";"Samsung";"SSD";"2022-05-13T09:38:17";"Mercer";"Dell Latitude 7300";"engine-12"
"THBANEL8617M72";"Mercer - Bangkok (TH) - Laptop";"13992161280";"252736155648";"SK hynix SC210 mSATA 256GB:256052966400:0.7:SSD:boot disk:ok";"";"SSD";"2022-05-13T17:23:55";"Mercer";"Dell Latitude E7250";"engine-12"
"THBANEL8VX5RT2";"Mercer - Bangkok (TH) - Laptop";"11142311936";"252736155648";"Toshiba KBG40ZNS256G NVMe TOSHIBA 256GB:256052966400:NULL:SSD:boot disk:ok";"Toshiba";"SSD";"2022-05-13T17:40:20";"Mercer";"Dell Latitude 5300";"engine-12"
"PHMNLEL6YD00Z2";"Mercer - Manila (PH) - Laptop";"10590679040";"252736155648";"Micron 1300 SATA 256GB:256052966400:0.8:SSD:boot disk:ok";"Micron";"SSD";"2022-05-13T21:52:04";"Mercer";"Dell Latitude 5290";"engine-12"
"SGSGPELCBCB0N2";"Mercer - Singapore (SG) - Laptop";"18774159360";"254169468928";"Micron 1100 SCSI Disk Device:256052966400:0.8:SSD:boot disk:ok,Mass Storage Device USB Device:0:NULL:ok";"Micron";"SSD";"2022-05-13T17:55:26";"Mercer";"Dell Latitude 7280";"engine-12"
"MYKLUEL5LCMGC2";"Mercer - Kuala Lumpur (MY) - Laptop";"22017556480";"246800166912";"Samsung Samsung SSD 860 EVO M.2 250GB:250056737280:0.9:SSD:boot disk:ok";"Samsung";"SSD";"2022-05-09T20:53:22";"Mercer";"Dell Latitude E7470";"engine-12"
"SGSGPELD1RCRQ2";"Mercer - Singapore (SG) - Laptop";"23961427968";"254169042944";"SAMSUNG SSD SCSI Disk Device:256052966400:0.8:SSD:boot disk:ok";"Samsung";"SSD";"2022-05-13T19:48:32";"Mercer";"Dell Latitude 7280";"engine-12"
"MYKLUEL87RZMV2";"Mercer - Kuala Lumpur (MY) - Laptop";"11438891008";"252736155648";"TOSHIBA KSG60ZMV256G M.2 2280 256GB:256052966400:0.9:SSD:boot disk:ok";"Toshiba";"SSD";"2022-05-14T03:58:26";"Mercer";"Dell Latitude 5490";"engine-12"
"SGSGPEL8RLH7Y2";"Mercer - Singapore (SG) - Laptop";"22046285824";"252736155648";"LITEON CV8-8E256-11 SATA 256GB:256052966400:0.9:SSD:boot disk:ok";"";"SSD";"2022-05-13T20:19:59";"Mercer";"Dell Latitude 7290";"engine-12"
"MYKLUELJTHBRF2";"Mercer - Kuala Lumpur (MY) - Laptop";"25048199168";"255048314880";"Intel INTEL SSDSCKKF256H6 SATA 256GB:256052966400:0.7:SSD:boot disk:ok";"Intel";"SSD";"2022-05-13T17:35:38";"Mercer";"Dell Latitude E7470";"engine-12"
"SGSGPEL773J3Z2";"Mercer - Singapore (SG) - Laptop";"14829613056";"252736155648";"Samsung PM981a NVMe Samsung 256GB:256052966400:NULL:SSD:boot disk:ok";"Samsung";"SSD";"2022-05-11T17:04:41";"Mercer";"Dell Latitude 7300";"engine-12"
"SGSGPELD045QT2";"Mercer - Singapore (SG) - Laptop";"3163086848";"252736155648";"Toshiba KBG40ZNS256G NVMe TOSHIBA 256GB:256052966400:NULL:SSD:boot disk:ok";"Toshiba";"SSD";"2022-05-13T16:54:05";"Mercer";"Dell Latitude 5300";"engine-12"
"MYKLUELDGP9ZW2";"Mercer - Kuala Lumpur (MY) - Laptop";"14496387072";"252736155648";"SK hynix SC401 SATA 256GB:256052966400:0.9:SSD:boot disk:ok";"";"SSD";"2022-05-13T22:00:47";"Mercer";"Dell Latitude 5490";"engine-12"
"IDJAKELBXFWVZ2";"Mercer - Jakarta (ID) - Laptop";"12671111168";"252736155648";"Western Digital PC SN520 NVMe WDC 256GB:256052966400:NULL:SSD:boot disk:ok";"Western Digital";"SSD";"2022-05-13T20:16:01";"Mercer";"Dell Latitude 5300";"engine-12"
"PHMNLELH2F00Z2";"Mercer - Manila (PH) - Laptop";"22895767552";"252736155648";"Micron 1300 SATA 256GB:256052966400:0.9:SSD:boot disk:ok";"Micron";"SSD";"2022-05-13T16:08:16";"Mercer";"Dell Latitude 5290";"engine-12"
"SGSGPEL40PRFW2";"Mercer - Singapore (SG) - Laptop";"25953001472";"252736155648";"BC501 NVMe SK hynix 256GB:256052966400:NULL:SSD:boot disk:ok";"";"SSD";"2022-05-12T10:17:46";"Mercer";"Dell Latitude 5300";"engine-12"
"PHMNLELJ41VN93";"Mercer - Manila (PH) - Laptop";"17822253056";"252736155648";"KBG40ZNS256G NVMe KIOXIA 256GB:256052966400:NULL:SSD:boot disk:ok";"";"SSD";"2022-05-13T17:22:58";"Mercer";"Dell Latitude 5310";"engine-12"
"PHCEBEL151VN93";"Mercer - Cebu (PH) - Laptop";"10161758208";"252736155648";"KBG40ZNS256G NVMe KIOXIA 256GB:256052966400:NULL:SSD:boot disk:ok";"";"SSD";"2022-05-13T17:18:28";"Mercer";"Dell Latitude 5310";"engine-12"
"PHMNLEL1DHZZY2";"Mercer - Manila (PH) - Laptop";"215076864";"252736155648";"Micron 1300 SATA 256GB:256052966400:0.8:SSD:boot disk:ok";"Micron";"SSD";"2022-05-13T13:57:39";"Mercer";"Dell Latitude 5290";"engine-12"
"PHMNLEL48DYZY2";"Mercer - Manila (PH) - Laptop";"21440397312";"252736155648";"Micron 1300 SATA 256GB:256052966400:0.9:SSD:boot disk:ok";"Micron";"SSD";"2022-05-13T07:23:02";"Mercer";"Dell Latitude 5290";"engine-12"
"PHMNLEL8FLKRQ2";"Mercer - Manila (PH) - Laptop";"15305670656";"252736155648";"TOSHIBA KSG60ZMV256G M.2 2280 256GB:256052966400:0.9:SSD:boot disk:ok";"Toshiba";"SSD";"2022-05-13T20:56:27";"Mercer";"Dell Latitude 7480";"engine-12"
"MYKLUEL9X8W9H2";"Mercer - Kuala Lumpur (MY) - Laptop";"18640814080";"252736155648";"Micron 1100 SATA 256GB:256052966400:0.7:SSD:boot disk:ok";"Micron";"SSD";"2022-05-13T17:50:38";"Mercer";"Dell Latitude 7480";"engine-12"
"PHMNLELDCL5NH2";"Mercer - Manila (PH) - Laptop";"15908909056";"254170071040";"Micron 1100 SCSI Disk Device:256052966400:0.7:SSD:boot disk:ok";"Micron";"SSD";"2022-05-13T21:37:30";"Mercer";"Dell Latitude 7480";"engine-12"
"PHMNLELGS69RV2";"Mercer - Manila (PH) - Laptop";"19963691008";"252736155648";"SK hynix SC401 SATA 256GB:256052966400:0.8:SSD:boot disk:ok";"";"SSD";"2022-05-13T21:35:25";"Mercer";"Dell Latitude 5290";"engine-12"
"PHMNLELH2PZZY2";"Mercer - Manila (PH) - Laptop";"14623363072";"252736155648";"Micron 1300 SATA 256GB:256052966400:0.9:SSD:boot disk:ok";"Micron";"SSD";"2022-05-13T21:20:40";"Mercer";"Dell Latitude 5290";"engine-12"
"PHMNLELJWVZZY2";"Mercer - Manila (PH) - Laptop";"25194893312";"252736155648";"Micron 1300 SATA 256GB:256052966400:0.9:SSD:boot disk:ok";"Micron";"SSD";"2022-05-13T19:11:11";"Mercer";"Dell Latitude 5290";"engine-12"
"PHMNLMD3JRH862";"Marsh - Manila (PH) - Desktop";"10396147712";"249561223168";"Samsung Samsung SSD 860 EVO 250GB:250056737280:1:SSD:boot disk:ok";"Samsung";"SSD";"2022-05-14T07:55:35";"Marsh";"Unknown Model";"engine-3"
"PHMNLMD3HGJH62";"Marsh - Manila (PH) - Desktop";"14274523136";"249561223168";"Samsung Samsung SSD 860 EVO 250GB:250056737280:1:SSD:boot disk:ok";"Samsung";"SSD";"2022-05-12T05:38:23";"Marsh";"Unknown Model";"engine-3"
"PHMNLMD3CVFH62";"Marsh - Manila (PH) - Desktop";"15304581120";"249561227264";"Samsung Samsung SSD 860 EVO 250GB:250056737280:1:SSD:boot disk:ok";"Samsung";"SSD";"2022-05-12T14:56:19";"Marsh";"Unknown Model";"engine-3"
"SGSGPMLHZ7B1Z2";"Marsh - Singapore (SG) - Laptop";"15420375040";"401370755072";"Intel SSDPEKKF512G8 NVMe INTEL 512GB:512105932800:NULL:SSD:boot disk:ok";"Intel";"SSD";"2022-05-14T10:10:06";"Marsh";"Dell Latitude 7300";"engine-5"
"MYKLUML2TW5NT2";"Marsh - Kuala Lumpur (MY) - Laptop";"6930829312";"252736155648";"Western Digital PC SN520 NVMe WDC 256GB:256052966400:NULL:SSD:boot disk:ok";"Western Digital";"SSD";"2022-05-14T10:09:50";"Marsh";"Dell Latitude 5300";"engine-5"
"SGSGPMLDX9VTP2";"Marsh - Singapore (SG) - Laptop";"21869928448";"254169866240";"Micron 1100 SCSI Disk Device:256052966400:0.9:SSD:boot disk:ok";"Micron";"SSD";"2022-05-14T10:10:22";"Marsh";"Dell Latitude 7280";"engine-5"
"IDJAKML9WXQFH2";"Marsh - Jakarta (ID) - Laptop";"15906357248";"254172094464";"SK hynix SCSI Disk Device:256052966400:0.9:SSD:boot disk:ok";"";"SSD";"2022-05-14T10:10:06";"Marsh";"Dell Latitude 7280";"engine-5"
"IDJAKML93H9MT2";"Marsh - Jakarta (ID) - Laptop";"7904559104";"252736155648";"Toshiba KBG40ZNS256G NVMe TOSHIBA 256GB:256052966400:NULL:SSD:boot disk:ok";"Toshiba";"SSD";"2022-05-14T10:10:04";"Marsh";"Dell Latitude 5300";"engine-5"
"PHMNLML9GPK0N2";"Marsh - Manila (PH) - Laptop";"22611382272";"254171590656";"Micron 1100 SCSI Disk Device:256052966400:0.8:SSD:boot disk:ok";"Micron";"SSD";"2022-05-14T10:10:22";"Marsh";"Dell Latitude 7480";"engine-5"
"MYKLUMLCXV5NT2";"Marsh - Kuala Lumpur (MY) - Laptop";"18138132480";"252736155648";"Western Digital PC SN520 NVMe WDC 256GB:256052966400:NULL:SSD:boot disk:ok";"Western Digital";"SSD";"2022-05-14T10:10:06";"Marsh";"Dell Latitude 5300";"engine-5"
"THBANML3JGQFC2";"Marsh - Bangkok (TH) - Laptop";"14946054144";"255044083712";"Intel INTEL SSDSCKGF256A5 SATA 256GB:256052966400:0.8:SSD:boot disk:ok";"Intel";"SSD";"2022-05-14T10:10:22";"Marsh";"Dell Latitude E7270";"engine-5"
"MYKLUML6JM5QC2";"Marsh - Kuala Lumpur (MY) - Laptop";"14018977792";"254839091200";"TOSHIBA KSG60ZMV256G M.2 2280 256GB:256052966400:0.8:SSD:boot disk:ok";"Toshiba";"SSD";"2022-05-14T10:09:50";"Marsh";"Dell Latitude E7470";"engine-5"
"IDJAKMLFS20LW2";"Marsh - Jakarta (ID) - Laptop";"22443106304";"252736155648";"Western Digital PC SN520 NVMe WDC 256GB:256052966400:NULL:SSD:boot disk:ok";"Western Digital";"SSD";"2022-05-14T10:09:07";"Marsh";"Dell Latitude 5300";"engine-5"
"SGSGPML8DDHNV2";"Marsh - Singapore (SG) - Laptop";"7832498176";"252736155648";"SK hynix SC401 SATA 256GB:256052966400:1:SSD:boot disk:ok";"";"SSD";"2022-05-14T10:10:22";"Marsh";"Dell Latitude 7280";"engine-5"
"IDJAKMLDR20LW2";"Marsh - Jakarta (ID) - Laptop";"19509272576";"252736155648";"Western Digital PC SN520 NVMe WDC 256GB:256052966400:NULL:SSD:boot disk:ok";"Western Digital";"SSD";"2022-05-14T10:10:22";"Marsh";"Dell Latitude 5300";"engine-5"
"PHMNLMLJBHZZY2";"Marsh - Manila (PH) - Laptop";"11900813312";"252736155648";"Micron 1300 SATA 256GB:256052966400:1:SSD:boot disk:ok";"Micron";"SSD";"2022-05-14T10:09:53";"Marsh";"Dell Latitude 5290";"engine-5"
"SGSGPML4SY7RT2";"Marsh - Singapore (SG) - Laptop";"16456511488";"252736155648";"BC511 NVMe SK hynix 256GB:256052966400:NULL:SSD:boot disk:ok";"";"SSD";"2022-05-14T10:09:32";"Marsh";"Dell Latitude 5300";"engine-5"
"PHMNLMLDQTXZY2";"Marsh - Manila (PH) - Laptop";"26286268416";"252736155648";"Micron 1300 SATA 256GB:256052966400:0.9:SSD:boot disk:ok";"Micron";"SSD";"2022-05-14T10:10:06";"Marsh";"Dell Latitude 5290";"engine-5"
"MYKLUML94LXGC2";"Marsh - Kuala Lumpur (MY) - Laptop";"17588776960";"255044538368";"SK hynix SC308 SATA 256GB:256052966400:0.7:SSD:boot disk:predicted_to_fail";"";"SSD";"2022-05-14T10:09:50";"Marsh";"Dell Latitude E7470";"engine-5"
"PHMNLMLBSY9RV2";"Marsh - Manila (PH) - Laptop";"18319986688";"252736155648";"SK hynix SC401 SATA 256GB:256052966400:1:SSD:boot disk:ok";"";"SSD";"2022-05-14T10:09:50";"Marsh";"Dell Latitude 5290";"engine-5"
"IDJAKML221RNQ2";"Marsh - Jakarta (ID) - Laptop";"15678402560";"254171459584";"Micron 1100 SCSI Disk Device:256052966400:0.7:SSD:boot disk:ok";"Micron";"SSD";"2022-05-14T10:10:22";"Marsh";"Dell Latitude 7280";"engine-5"
"IDJAKMLD1H9MT2";"Marsh - Jakarta (ID) - Laptop";"21302255616";"252736155648";"Toshiba KBG40ZNS256G NVMe TOSHIBA 256GB:256052966400:NULL:SSD:boot disk:ok";"Toshiba";"SSD";"2022-05-14T10:10:22";"Marsh";"Dell Latitude 5300";"engine-5"
"MYKLUMLBYV5NT2";"Marsh - Kuala Lumpur (MY) - Laptop";"26231205888";"252736155648";"Western Digital PC SN520 NVMe WDC 256GB:256052966400:NULL:SSD:boot disk:ok";"Western Digital";"SSD";"2022-05-14T10:10:22";"Marsh";"Dell Latitude 5300";"engine-5"
"VNHCMML4NP07Y2";"Marsh - Ho Chi Minh City (VN) - Laptop";"15990046720";"252736155648";"SAMSUNG SSD PM871b M.2 2280 256GB:256052966400:0.9:SSD:boot disk:ok";"Samsung";"SSD";"2022-05-14T10:10:05";"Marsh";"Dell Latitude 5290";"engine-5"
"SGSGPMLB1Z7RT2";"Marsh - Singapore (SG) - Laptop";"18791006208";"252736155648";"BC511 NVMe SK hynix 256GB:256052966400:NULL:SSD:boot disk:ok";"";"SSD";"2022-05-14T10:10:22";"Marsh";"Dell Latitude 5300";"engine-5"
"SGSGPMLF8LLXT2";"Marsh - Singapore (SG) - Laptop";"16943886336";"252736155648";"Micron 1100 SATA 256GB:256052966400:0.9:SSD:boot disk:ok";"Micron";"SSD";"2022-05-13T17:50:40";"Marsh";"Dell Latitude 7280";"engine-5"
"PHMNLML3V9P0X2";"Marsh - Manila (PH) - Laptop";"3425406976";"252736155648";"Kingston DataTraveler 3.0:7863367680:NULL:ok,SK hynix SC401 SATA 256GB:256052966400:0.9:SSD:boot disk:ok";"Kingston";"SSD";"2022-05-13T09:42:59";"Marsh";"Dell Latitude 5290";"engine-5"
"SGSGPML9FGRPF2";"Marsh - Singapore (SG) - Laptop";"12941758464";"255049236480";"Intel INTEL SSDSCKKF256H6 SATA 256GB:256052966400:0.5:SSD:boot disk:ok,Canon TS8200 series USB Device:0:NULL:ok";"Intel";"SSD";"2022-05-14T04:14:09";"Marsh";"Dell Latitude E7270";"engine-5"
"SGSGPMLF7BGNV2";"Marsh - Singapore (SG) - Laptop";"11230834688";"252736155648";"SK hynix SC401 SATA 256GB:256052966400:1:SSD:boot disk:ok,SanDisk Ultra Fit:250443325440:NULL:ok";"SanDisk";"SSD";"2022-05-13T16:11:20";"Marsh";"Dell Latitude 7280";"engine-5"
"MYKLUMLCP49763";"Marsh - Kuala Lumpur (MY) - Laptop";"16154259456";"252736155648";"KBG40ZNS256G NVMe KIOXIA 256GB:256052966400:NULL:SSD:boot disk:ok";"";"SSD";"2022-05-13T17:03:47";"Marsh";"Dell Latitude 5310";"engine-5"
"SGSGPMLCGSTTP2";"Marsh - Singapore (SG) - Laptop";"17461665792";"252736155648";"Micron 1100 SATA 256GB:256052966400:0.9:SSD:boot disk:ok";"Micron";"SSD";"2022-05-13T17:12:18";"Marsh";"Dell Latitude 7280";"engine-5"
"SGSGPMLHXK4MQ2";"Marsh - Singapore (SG) - Laptop";"23059140608";"254172033024";"TOSHIBA KSG60ZMV256G SCSI Disk Device:256052966400:0.9:SSD:boot disk:ok";"Toshiba";"SSD";"2022-05-13T15:54:57";"Marsh";"Dell Latitude 7280";"engine-5"
"SGSGPML5GGM7Y2";"Marsh - Singapore (SG) - Laptop";"22899052544";"252736155648";"LITEON CV8-8E256-11 SATA 256GB:256052966400:0.9:SSD:boot disk:ok";"";"SSD";"2022-05-14T09:14:12";"Marsh";"Dell Latitude 7290";"engine-5"
"PHMNLMLBYYP1N2";"Marsh - Manila (PH) - Laptop";"5584760832";"253201260544";"SK hynix SCSI Disk Device:256052966400:0.8:SSD:boot disk:ok";"";"SSD";"2022-05-13T18:49:28";"Marsh";"Dell Latitude 7480";"engine-5"
"PHMNLMLCNYNNV2";"Marsh - Manila (PH) - Laptop";"5124919296";"252736155648";"SK hynix SC311 SATA 256GB:256052966400:0.7:SSD:boot disk:ok";"";"SSD";"2022-05-13T21:47:35";"Marsh";"Dell Latitude 5490";"engine-5"
